precip,snofall, snomlt,surq_gen,latq,wateryld,perc,et,tloss, eplant,esoil,surq_cont,cn,sw_init,sw_final,sw_ave, sw_300,sno_init,sno_final,snopack, pet,qtile, irr,surq_runon,latq_runon,overbank,surq_cha,surq_res,surq_ls,latq_cha,latq_res,latq_ls,flo_out
0,0,0,9.66E-07,1.66,1.66,4.62E-02,0.494,0,4.55E-03,0.106,0,43.3,229,229,229,54,0,0,0,0.696,0,0,0,0,0,0,0,0,1.66,0,0,0.226
0,0,0,9.66E-07,1.27,1.27,4.40E-02,0.421,0,7.76E-03,0.154,0,43.3,229,228,228,53.8,0,0,0,0.767,0,0,0,0,0,0,0,0,1.27,0,0,0.162
0,0,0,9.66E-07,0.984,0.984,4.21E-02,0.339,0,8.76E-03,0.188,0,43.3,228,228,228,53.5,0,0,0,0.707,0,0,0,0,0,0,0,0,0.984,0,0,0.117
0,0,1.78,9.66E-07,1.15,1.15,4.39E-02,0.449,0,1.24E-02,0.276,0,43.3,228,228,228,53.7,0,0,0,0.959,0,0,0,0,0,0,0,0,1.15,0,0,0.267
10.1,0,4.59,1.22E-02,3.54,3.55,6.70E-02,0.801,0,0,3.52E-02,1.22E-02,43.3,228,231,229,56.2,0,0,0,0.814,0,0,0,0,0,1.22E-02,0,0,3.54,0,0,1.17
3.1,0,0,2.07E-03,3.87,3.87,5.54E-02,1.03,0,0,4.55E-02,2.07E-03,43.3,231,229,230,54,0,0,0,1.05,0,0,0,0,0,2.07E-03,0,0,3.87,0,0,1.41
6.07,0,0,1.84E-02,4.13,4.15,5.67E-02,1.04,0,0,4.72E-02,1.84E-02,43.3,229,229,229,54.1,0,0,0,1.06,0,0,0,0,0,1.84E-02,0,0,4.13,0,0,1.45
18.5,0,0,0.142,7.41,7.56,9.32E-02,0.385,0,0,1.78E-02,0.142,43.3,229,231,230,54.3,0,0,0,0.391,0,0,0,0,0,0.142,0,0,7.41,0,0,2.2
2.22,0,0,2.06E-03,5.88,5.88,5.87E-02,0.343,0,0,1.61E-02,2.06E-03,43.3,231,230,230,54.3,0,0,0,0.349,0,0,0,0,0,2.06E-03,0,0,5.88,0,0,1.59
5.91,0,0,3.50E-02,5.72,5.76,6.70E-02,0.371,0,0,1.76E-02,3.50E-02,43.3,230,230,230,54.3,0,0,0,0.377,0,0,0,0,0,3.50E-02,0,0,5.72,0,0,1.5
7.4,0,0,6.89E-02,5.97,6.04,7.17E-02,1.21,0,0,5.41E-02,6.89E-02,43.3,230,231,231,54.4,0,0,0,1.23,0,0,0,0,0,6.89E-02,0,0,5.97,0,0,1.57
3.45E-02,0,0,9.66E-07,4.39,4.39,5.33E-02,0.735,0,1.18E-02,0.259,0,43.3,231,230,230,54.1,0,0,0,1.24,0,0,0,0,0,0,0,0,4.39,0,0,1.08
0,0,0,9.66E-07,3.25,3.25,5.00E-02,0.356,0,1.13E-02,0.223,0,43.3,230,229,229,53.7,0,0,0,0.85,0,0,0,0,0,0,0,0,3.25,0,0,0.767
4.13,0,0,1.98E-04,2.89,2.89,5.26E-02,0.649,0,0,3.36E-02,1.97E-04,43.3,229,229,229,54.2,0,0,0,0.659,0,0,0,0,0,1.97E-04,0,0,2.89,0,0,0.659
4.4,0,0,4.11E-03,3.07,3.07,5.72E-02,0.593,0,0,2.72E-02,4.11E-03,43.3,229,229,229,54.2,0,0,0,0.603,0,0,0,0,0,4.11E-03,0,0,3.07,0,0,0.64
3.19,2.19,2.19,1.66E-03,2.99,2.99,5.42E-02,0.683,0,0,3.08E-02,1.66E-03,43.3,229,229,229,54.2,0,0,0,0.694,0,0,0,0,0,1.66E-03,0,0,2.99,0,0,0.723
2.16E-02,1.50E-03,1.50E-03,9.66E-07,2.22,2.22,4.60E-02,1.08,0,6.41E-03,0.178,0,43.3,229,229,229,53.9,0,0,0,1.36,0,0,0,0,0,0,0,0,2.22,0,0,0.502
0,0,0,9.66E-07,1.67,1.67,4.38E-02,0.567,0,1.81E-02,0.363,0,43.3,229,228,228,53.5,0,0,0,1.35,0,0,0,0,0,0,0,0,1.67,0,0,0.358
8.38,3.41,3.02,1.08E-02,2.58,2.59,5.85E-02,1.69,0,4.63E-03,0.166,1.08E-02,43.3,228,229,228,54.1,0,0,0,1.9,0,0,0,0,0,1.08E-02,0,0,2.58,0,0,0.418
27.4,15.9,3.76,0.214,5.07,5.28,8.72E-02,0.466,0,0,1.44E-02,0.214,43.3,229,231,230,54.5,0,0,0,0.479,0,0,0,0,0,0.214,0,0,5.07,0,0,0.708
2.31,0,10.6,0.129,7.14,7.27,9.04E-02,0.293,0,0,6.24E-03,0.129,43.3,231,232,231,54.5,0,0,0,0.298,0,0,0,0,0,0.129,0,0,7.14,0,0,1.56
2.16E-02,0,1.95,1.27E-02,5.81,5.82,6.27E-02,0.588,0,0,2.55E-02,1.27E-02,43.3,232,231,231,54.4,0,0,0,0.597,0,0,0,0,0,1.27E-02,0,0,5.81,0,0,1.35
0,0,0,9.66E-07,4.28,4.28,5.40E-02,0.555,0,4.19E-04,3.50E-02,0,43.3,231,230,230,54.3,0,0,0,0.581,0,0,0,0,0,0,0,0,4.28,0,0,0.957
0,0,0,9.66E-07,3.17,3.17,5.06E-02,0.528,0,1.20E-02,0.263,0,43.3,230,229,230,53.9,0,0,0,1.04,0,0,0,0,0,0,0,0,3.17,0,0,0.68
7.3,0,0,5.06E-03,3.75,3.76,6.22E-02,1.53,0,1.39E-03,9.75E-02,5.06E-03,43.3,229,230,229,54.3,0,0,0,1.6,0,0,0,0,0,5.06E-03,0,0,3.75,0,0,0.994
10.1,0,0,5.99E-02,4.98,5.04,7.25E-02,0.444,0,0,2.06E-02,5.99E-02,43.3,230,230,230,54.4,0,0,0,0.452,0,0,0,0,0,5.99E-02,0,0,4.98,0,0,1.38
1.67,0,0,7.69E-04,3.98,3.98,5.46E-02,1.05,0,0,4.68E-02,7.68E-04,43.3,230,230,230,54.3,0,0,0,1.06,0,0,0,0,0,7.68E-04,0,0,3.98,0,0,1.01
0.478,0,0,9.66E-07,2.95,2.95,4.91E-02,0.951,0,1.19E-03,6.88E-02,0,43.3,230,229,230,54.2,0,0,0,1.01,0,0,0,0,0,0,0,0,2.95,0,0,0.718
12.5,0,0,6.97E-02,4.96,5.03,7.63E-02,1.78,0,7.30E-03,0.228,6.97E-02,43.3,229,230,230,54.4,0,0,0,2.1,0,0,0,0,0,6.97E-02,0,0,4.96,0,0,1.45
6.93,0,0,4.62E-02,5.03,5.08,6.54E-02,0.366,0,0,1.73E-02,4.62E-02,43.3,230,230,230,54.4,0,0,0,0.373,0,0,0,0,0,4.62E-02,0,0,5.03,0,0,1.42
1.88,0,0,1.44E-03,4.06,4.06,5.47E-02,1.62,0,2.96E-03,0.136,1.44E-03,43.3,230,230,230,54.3,0,0,0,1.76,0,0,0,0,0,1.44E-03,0,0,4.06,0,0,1.06
1.72,0,0,9.66E-07,3.09,3.09,4.98E-02,1.01,0,1.45E-06,4.61E-02,0,43.3,230,229,229,54.2,0,0,0,1.02,0,0,0,0,0,0,0,0,3.09,0,0,0.799
25.1,0,0,0.44,8.22,8.66,0.114,1.6,0,2.83E-03,0.135,0.44,43.3,229,232,231,54.6,0,0,0,1.74,0,0,0,0,0,0.44,0,0,8.22,0,0,2.13
3.4,0,0,1.94E-03,6.51,6.51,6.51E-02,1.58,0,2.13E-03,0.116,1.94E-03,43.3,232,231,232,54.5,0,0,0,1.69,0,0,0,0,0,1.94E-03,0,0,6.51,0,0,1.54
38,0,0,1.2,14,15.2,0.16,0.441,0,0,2.07E-02,1.2,43.3,231,235,233,55,0,0,0,0.448,0,0,0,0,0,1.2,0,0,14,0,0,3.79
22.6,0,0,0.741,15.9,16.6,0.135,0.54,0,0,2.49E-02,0.741,43.3,235,236,235,55.2,0,0,0,0.549,0,0,0,0,0,0.741,0,0,15.9,0,0,4.26
3.71,0,0,1.37E-02,12.4,12.5,8.61E-02,0.734,0,0,3.38E-02,1.37E-02,43.3,236,234,235,55,0,0,0,0.745,0,0,0,0,0,1.37E-02,0,0,12.4,0,0,3.13
17.2,0,0,0.572,13.2,13.8,0.119,0.781,0,0,3.61E-02,0.572,43.3,234,235,235,55.2,0,0,0,0.793,0,0,0,0,0,0.572,0,0,13.2,0,0,3.22
6.94,0,0,9.78E-02,11.3,11.4,9.26E-02,0.79,0,0,3.43E-02,9.78E-02,43.3,235,235,235,55.1,0,0,0,0.801,0,0,0,0,0,9.78E-02,0,0,11.3,0,0,2.68
3.66,0,0,1.11E-02,9.01,9.02,8.02E-02,1.01,0,0,4.54E-02,1.11E-02,43.3,235,234,234,55,0,0,0,1.03,0,0,0,0,0,1.11E-02,0,0,9.01,0,0,2.04
0,0,0,9.75E-07,6.65,6.65,6.80E-02,1.11,0,1.76E-02,0.407,0,43.3,234,232,233,54.4,0,0,0,1.85,0,0,0,0,0,0,0,0,6.65,0,0,1.44
0.972,0,0,9.68E-07,4.93,4.93,6.28E-02,0.733,0,2.86E-06,3.77E-02,0,43.3,232,231,232,54.2,0,0,0,0.745,0,0,0,0,0,0,0,0,4.93,0,0,1.02
